name,address,latitude,longitude,rating,rating_count,place_id
Teds Utrecht Oudegracht - All Day Food & Drinks,"Lichte Gaard 8, Utrecht",52.09015400000001,5.120723000000001,4.1,1512,ChIJW3IexlpvxkcRof7La1XgteY
Rabarber,"Zadelstraat 20, Utrecht",52.0900019,5.119321600000001,4.6,643,ChIJaRdsJ1tvxkcRiVN5UQdTkKE
Restaurant Seven Utrecht,"Mariaplaats 7, Utrecht",52.0899045,5.117791700000001,4.0,1837,ChIJfeWmQFtvxkcRE6GCUe7uAK4
Jozef eten & drinken,"Mariaplaats 50, Utrecht",52.0894962,5.1182595,4.2,2385,ChIJg0VMFltvxkcRUSMjZOf2xcI
Oproer Biercafé,"Beyaertdreef 5, Utrecht",52.1111792,5.111592399999999,4.3,778,ChIJM7wL0HRvxkcRPw4lb0j0cbw
Bistronome Des Arts,"Lijnmarkt 48, Utrecht",52.08926659999999,5.120959800000001,4.1,228,ChIJoUcx61pvxkcR1pLj8pFMDtQ
Cafe College,"Mariastraat 3, Utrecht",52.0905638,5.1170412,4.3,679,ChIJz2keTltvxkcRKcVkJmMn7b8
Mick O'Connells,"Jansdam 3, Utrecht",52.09254719999999,5.1226417,4.2,2006,ChIJ1fOaZUVvxkcRvx-WJgUtiNg
O'leary's,"Adelaarstraat 23, Utrecht",52.0991202,5.115701500000001,4.5,462,ChIJ-9Mw4kBvxkcREIMw-pucKbE
La Senorita,"Oudegracht aan de Werf 73, Utrecht",52.093899,5.1162789,2.8,320,ChIJVavZ5ERvxkcR9U-whXYnLOo
Springhaver,"Springweg 50, Utrecht",52.0882719,5.119191900000001,4.5,1691,ChIJtVCL_1pvxkcRgNXW7eTXgEw
Wijncafé Lefebvre,"Neude 2, Utrecht",52.0930939,5.119249099999999,4.4,623,ChIJiyyZ8ERvxkcR53Iqkx7R4_w
De Beurs,"Neude 37-39, Utrecht",52.0928754,5.119053999999999,3.8,2032,ChIJgTjP70RvxkcRYyK1YtHqngA
Body Talk,"Oudegracht 64, Utrecht",52.0945955,5.116959800000001,4.6,553,ChIJ903liUNvxkcRywlBnseshVM
Café De Stadsgenoot,"Breedstraat 8, Utrecht",52.09510869999999,5.1185771,4.5,274,ChIJlYy4FURvxkcR9OQjjcjeNCM
Café de Stad,"Lange Jufferstraat 58, Utrecht",52.09468099999999,5.125672400000001,4.6,352,ChIJ9dbrPU9vxkcRpOLAX4XDzI4
Stadskasteel Oudaen - Restaurant en Vergaderlocatie in Utrecht,"Oudegracht 99, Utrecht",52.0928674,5.116690999999999,4.2,1493,ChIJWxOEnURvxkcRvlE0JbI2exI
Poolcafé Hart Van Utrecht,"Ganzenmarkt 16B, Utrecht",52.0923119,5.119416900000001,4.3,1426,ChIJTeNV50RvxkcRxUsn7NVOUSY
't Oude Pothuys,"Oudegracht 279, Utrecht",52.0862031,5.1218857,4.4,1731,ChIJNcZdCFpvxkcR7qsZ-hk6x4c
Miyagi & Jones Utrecht,"Handelskamerstraat 14, Utrecht",52.0867744,5.1062984,4.3,1725,ChIJpeuXJGdvxkcRRejmJoW6kjE
Café DeRat,"Lange Smeestraat 37, Utrecht",52.0859904,5.1205754,4.7,864,ChIJ20DgGFpvxkcRPhs2Qv9679Q
Restaurant Café West,"Vleutenseweg 433, Utrecht",52.0940778,5.093330600000001,4.2,748,ChIJk9sc-nBvxkcRevePBTY69uc
RUIG,"Handelskamerstraat 2, 3521hd, Utrecht",52.08681929999999,5.1065904,4.1,1271,ChIJw_-_OmdvxkcRDrw29VoBUYY
Beers & Barrels - Utrecht Veilinghaven,"Veilinghavenkade 177, Utrecht",52.08238300000001,5.1092038,4.1,2287,ChIJF4sWw19vxkcR2vWO6vwntwc
Safae,"Jan Pieterszoon Coenstraat 58, Utrecht",52.09082660000001,5.097401200000001,4.4,63,ChIJBQvSRWVvxkcRaa7RuR2Mjfk
De Drie Dorstige Herten,"Lange Nieuwstraat 47, Utrecht",52.087324,5.123393999999998,4.7,648,ChIJv5TtkVBvxkcRacysMt12SEo
Dorpsbistro 'Naast De Buren',"Groenekanseweg 168, Groenekan",52.120466,5.161356,4.4,215,ChIJJbfRrNhoxkcRgCA2CbB-s4E
Eetcafé Joos,"Hessenweg 1, De Bilt",52.10592949999999,5.1783041,4.5,495,ChIJSejMJu5oxkcR6NXqLYRQfZ0
Cafetaria De Rooy 🍟,"Planetenbaan 29, Bilthoven",52.1201113,5.1844872,4.3,284,ChIJQx0bgP1oxkcRln-wpoQ6_5Q
Nieuwe Dikke Dries Oost,"Willem de Zwijgerstraat 31, Utrecht",52.087415,5.144533000000001,4.1,108,ChIJ3bebV65oxkcRBGPD44gP4Ec
Science Café Het Proeflokaal,"Padualaan 99, Utrecht",52.0844259,5.1685123,4.5,42,ChIJ4xtw5ptoxkcR2lAHVKmLZm8
